#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|                     dataset.txt|  1.91e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.10279476|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.66272137|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.68442087|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.03190305|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.51890767|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.94068053|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.95901101|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.90135069|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.52940167|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.75433851|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.59356413|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.70783104|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.01334728|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.07963436|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.01478943|  PASSED  
             dab_dct| 256|     50000|       1|0.53224869|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.20780344|  PASSED  
        dab_filltree|  32|  15000000|       1|0.48692582|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.07562742|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.50136473|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.76624153|  PASSED  
